Регион,total_schools,schools_with_girls,total_girls,avg_girls_per_school,geocoded_points,low_precision_points,2004 и старше,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 и младше
Алтайский край,10,10,417,41.7,10,0,7,0,5,9,15,21,33,56,62,49,50,46,29,20,15
Амурская область,3,3,38,12.666666666666666,3,0,0,1,0,0,0,1,3,9,9,5,4,2,4,0,0
Архангельская область,4,4,71,17.75,4,0,0,0,0,0,0,0,8,4,1,9,16,11,9,7,6
Астраханская область,6,6,474,79.0,6,0,3,2,2,9,15,18,24,50,61,72,71,65,43,28,11
Белгородская область,8,8,289,36.125,8,1,0,1,7,15,14,5,18,18,37,30,29,38,31,15,31
Брянская область,19,19,517,27.210526315789473,19,2,21,1,5,7,26,19,48,69,61,49,51,47,36,49,28
Владимирская область,12,12,349,29.083333333333332,12,2,77,12,6,6,9,17,21,47,34,25,25,30,20,13,7
Волгоградская область,6,6,370,61.666666666666664,6,0,16,2,4,5,4,18,21,18,49,70,65,35,30,28,5
Вологодская область,6,6,241,40.166666666666664,6,0,22,12,10,16,10,9,14,16,22,20,25,20,26,11,8
Воронежская область,20,20,741,37.05,20,2,13,7,4,71,93,79,88,73,58,66,41,49,33,33,33
Еврейская автономная область,1,1,18,18.0,1,1,0,0,0,0,0,0,2,1,3,1,1,6,4,0,0
Забайкальский край,5,5,217,43.4,5,0,0,0,0,12,9,13,16,35,29,24,27,17,19,16,0
Ивановская область,6,6,134,22.333333333333332,6,1,24,2,2,1,2,5,10,6,26,24,19,10,1,1,1
Иркутская область,3,3,240,80.0,3,0,22,5,9,10,10,11,15,25,44,45,22,9,7,4,2
Калининградская область,11,11,405,36.81818181818182,11,1,25,8,8,8,23,31,47,52,63,42,41,31,18,5,3
Калужская область,6,6,291,48.5,6,0,31,31,31,19,0,13,20,17,25,28,16,23,33,3,1
Камчатский край,3,3,128,42.666666666666664,3,2,0,0,0,5,4,8,11,13,26,12,15,22,10,2,0
Кемеровская область — Кузбасс,10,10,542,54.2,9,1,117,3,3,6,6,26,26,44,70,51,50,53,37,29,21
Кировская область,8,6,248,31.0,8,4,88,0,2,1,4,8,19,12,25,24,23,11,15,7,9
Костромская область,2,2,123,61.5,2,0,0,7,0,5,5,17,15,18,18,14,16,5,3,0,0
Краснодарский край,51,51,2315,45.3921568627451,50,5,58,24,31,46,75,146,200,224,218,286,293,299,238,134,43
Красноярский край,14,14,619,44.214285714285715,14,1,31,5,18,27,26,48,84,56,53,69,56,62,43,41,0
Курганская область,7,7,217,31.0,7,0,0,0,0,4,12,31,22,27,54,30,9,3,3,22,0
Курская область,4,4,65,16.25,4,0,0,0,0,10,0,1,1,3,22,4,4,7,5,3,5
