geo_request,Регион,Город,Адрес,Название школы
"ул. Калининская, д. 57, Белогорск, Амурская область, Россия",Амурская область,Белогорск,"ул. Калининская, д. 57","МАУ ДО ""СШ ""Белогорец"""
"ул. Больничная д. 9, пгт. Архара, Амурская область, Россия",Амурская область,пгт. Архара,ул. Больничная д. 9,"МАУ ДО ""АСШ"""
"ул.Пионерская, д.51, Благовещенск, Амурская область, Россия",Амурская область,Благовещенск,"ул.Пионерская, д.51","МАОУ ДО ""СШ № 3 г.Благовещенска"""
"Биршоссе 2 км ул., стадион «Дружба», Биробиджан, Еврейская автономная область, Россия",Еврейская автономная область,Биробиджан,"Биршоссе 2 км ул., стадион «Дружба»","МБУДО ""Спортивная школа"""
"683003 г. Петропавловск-Камчатский, ул. Ленинградская, 66, Петропавловск-Камчатский, Камчатский край, Россия",Камчатский край,Петропавловск-Камчатский,"683003 г. Петропавловск-Камчатский, ул. Ленинградская, 66",КГБУДО СШ по футболу
"Ул.Сопочная зд 4, Елизовское, Камчатский край, Россия",Камчатский край,Елизовское,Ул.Сопочная зд 4,МБОУ ЕСШ3
"г.Петропавловск-Камчатский, г.Петропавловск-Камчатский, Камчатский край, Россия",Камчатский край,г.Петропавловск-Камчатский,г.Петропавловск-Камчатский,"МАУДО ""Спортивная школа № 2"""
"Наровчатова 18, Магадан, Магаданская область, Россия",Магаданская область,Магадан,Наровчатова 18,"МОГАУДО ""Спортивная школа по футболу"""
"ул. Олега Кошевого 26а, Владивосток, Приморский край, Россия",Приморский край,Владивосток,ул. Олега Кошевого 26а,"МБУ ДО СШ ""Старт"""
"Приморский край Спасский район с. Луговое Ул. Центральная дом 3, Спасск-Дальний, Приморский край, Россия",Приморский край,Спасск-Дальний,Приморский край Спасский район с. Луговое Ул. Центральная дом 3,"Муниципальное бюджетное учреждение дополнительного образования""Спортивная школа ""Атлант"" городского округа Спасск-Дальний"
"Ленина 3а, Артем, Приморский край, Россия",Приморский край,Артем,Ленина 3а,"МКУДО СШ ""Темп"""
"Находкинский проспект 108, Находка, Приморский край, Россия",Приморский край,Находка,Находкинский проспект 108,"МАУ ДО СШ ""Океан"" НГО"
"улица Овчинникова, дом 14, Владивосток, Приморский край, Россия",Приморский край,Владивосток,"улица Овчинникова, дом 14","Муниципальное бюджетное учреждение дополнительного образования ""Спортивная школа города Владивостока по футболу"""
"у. Комсомольская д.6 кв. 101, Уссурийск, Приморский край, Россия",Приморский край,Уссурийск,у. Комсомольская д.6 кв. 101,"ОО ""Уссурийский футбольный клуб ""Локомотив"""
"692830, Приморский край, Шкотовский м.о., пгт Смоляниново, ул. Маяковского д.33А, пгт Смоляниново, Приморский край, Россия",Приморский край,пгт Смоляниново,"692830, Приморский край, Шкотовский м.о., пгт Смоляниново, ул. Маяковского д.33А","Муниципальное бюджетное учреждение дополнительного образования ""Детско - юношеская спортивная школа"" Шкотовского муниципального округа"
"ул. Космонавтов, 15, Владивосток, Приморский край, Россия",Приморский край,Владивосток,"ул. Космонавтов, 15",ЦО «Вектор»
"Лермонтова 64, Якутск, Республика Саха (Якутия), Россия",Республика Саха (Якутия),Якутск,Лермонтова 64,"ГБУ ДО РС (Я) ""СШ по футболу"""
"ул. Горького 7/1, Южно-Сахалинск, Сахалинская область, Россия",Сахалинская область,Южно-Сахалинск,ул. Горького 7/1,"ОГАУ ДО ""СШ ""Сахалин"""
"Советская 1, Оха, Сахалинская область, Россия",Сахалинская область,Оха,Советская 1,МБУ ДО «СШ» г. Охи
"Кировская, 68А, Тымовское, Сахалинская область, Россия",Сахалинская область,Тымовское,"Кировская, 68А","МБУ ДО ""Спортивная школа пгт. Тымовское"""
"Сахалинская область, город Невельск, улица Яна Фабрициуса 4, Невельск, Сахалинская область, Россия",Сахалинская область,Невельск,"Сахалинская область, город Невельск, улица Яна Фабрициуса 4","Муниципальное бюджетное учреждение дополнительного образования ""Спортивная школа"" Невельского городского округа"
"ул. Стадионная, зд. 2, пгт. Ноглики, Сахалинская область, Россия",Сахалинская область,пгт. Ноглики,"ул. Стадионная, зд. 2","МБУ ДО ""СШ"" пгт. Ноглики"
"Cтадион им. В.И.Ленина, южная трибуна,оф.18, Хабаровск, Хабаровский край, Россия",Хабаровский край,Хабаровск,"Cтадион им. В.И.Ленина, южная трибуна,оф.18","ЦПЮФ ""СКА-Хабаровск"""
"Хабаровский край, город Хабаровск, ул. Воровского,17, Хабаровск, Хабаровский край, Россия",Хабаровский край,Хабаровск,"Хабаровский край, город Хабаровск, ул. Воровского,17","Муниципальное автономное учреждение дополнительного образования спортивная школа ""Заря"""
"Ул. Гамарника, 4-79, Хабаровск, Хабаровский край, Россия",Хабаровский край,Хабаровск,"Ул. Гамарника, 4-79","Женский футбольный клуб ""Арсенал"""
"Хабаровский край, район Лазо, р.п. Хор, ул. Безымянная, д. 6, р.п. Хор, Хабаровский край, Россия",Хабаровский край,р.п. Хор,"Хабаровский край, район Лазо, р.п. Хор, ул. Безымянная, д. 6",Икар
"Коммунистическая 10, Вяземский, Хабаровский край, Россия",Хабаровский край,Вяземский,Коммунистическая 10,МБУ ДО СШ Юниор
"Пер. Клинский, 13, Р.п. Переяславка, Хабаровский край, Россия",Хабаровский край,Р.п. Переяславка,"Пер. Клинский, 13",МБУ ДО спортивная школа р.п. Переяславка
"Г. Владимир, ул. Дворянская д. 16Б, Владимир, Владимирская область, Россия",Владимирская область,Владимир,"Г. Владимир, ул. Дворянская д. 16Б",ГБУ ДО ВО СШ ПО футболу
"9 января, д.3, Владимир, Владимирская область, Россия",Владимирская область,Владимир,"9 января, д.3","АНО ДЮСШ по футболу ""СИРИУС"""
"Владимирская обл. Гусь-Хрустальный р-он пос. Анопино, Владимирская обл. Гусь Хрустальный район пос. Анопино, Владимирская область, Россия",Владимирская область,Владимирская обл. Гусь Хрустальный район пос. Анопино,Владимирская обл. Гусь-Хрустальный р-он пос. Анопино,Анопино
"Московская 87, Муром, Владимирская область, Россия",Владимирская область,Муром,Московская 87,Юниор Муром
"Владимирская область, г. Радужный, квартал 9, д.3ал 9, дом 3, Радужный, Владимирская область, Россия",Владимирская область,Радужный,"Владимирская область, г. Радужный, квартал 9, д.3ал 9, дом 3","МБОУ ДО ""ДЮСШ"" ЗАТО г.Радужный Владимирской области"
"Нет конкретного, живем за счет аренды залов, Владимир, Владимирская область, Россия",Владимирская область,Владимир,"Нет конкретного, живем за счет аренды залов",Владимирский стандарт (Влада)
"г. Муром, ул. Ленина д. 95, Муром, Владимирская область, Россия",Владимирская область,Муром,"г. Муром, ул. Ленина д. 95",АНО ДО СШ СК МУРОМ
"ул. Добролюбова, д.23, Гусь-Хрустальный, Владимирская область, Россия",Владимирская область,Гусь-Хрустальный,"ул. Добролюбова, д.23","МБУДО ""СШ по футболу ""Грань"""
"ул. Братьев Бесединых, 26, Гороховец, Владимирская область, Россия",Владимирская область,Гороховец,"ул. Братьев Бесединых, 26","МБУ ФКС ""РДЮФОК"""
"Владимирская область, КОвровский район, п. МЕлехово, ул. Первомайская, д. 110, п. Мелехово Коврвский район, Владимирская область, Россия",Владимирская область,п. Мелехово Коврвский район,"Владимирская область, КОвровский район, п. МЕлехово, ул. Первомайская, д. 110","Муниципальное автономное учреждение дополнительного  образования  спортивная школа""Дворец спорта "" Ковровского района"
"Школьная улица, 1А, микрорайон Коммунар, Владимир, Владимир, Владимирская область, Россия",Владимирская область,Владимир,"Школьная улица, 1А, микрорайон Коммунар, Владимир",Мотор
"Добросельская 205 А, Владимир, Владимирская область, Россия",Владимирская область,Владимир,Добросельская 205 А,Смена Владимир
"Варенцовой 1, Вологда, Вологодская область, Россия",Вологодская область,Вологда,Варенцовой 1,Муниципальное автономное учреждение  дополнительного образования  «Спортивная школа олимпийского резерва по футболу Динамо-Вологда»
"ул. Гагарина, д. 44А, г. Вологда, Вологодская область, Россия",Вологодская область,г. Вологда,"ул. Гагарина, д. 44А","АУ ДО ВО ""СШОР ""Витязь"""
"162002, Вологодская обл., г. Грязовец, ул. Революционная, д. 104, Грязовец, Вологодская область, Россия",Вологодская область,Грязовец,"162002, Вологодская обл., г. Грязовец, ул. Революционная, д. 104","СП ""Спортивная школа"" БУ ""Центр развития физической культуры и спорта"" Грязовецкого муниципального округа"
"Грязовецуий район, д.Юрово, ул.Школьная,12, д.Юрово, Вологодская область, Россия",Вологодская область,д.Юрово,"Грязовецуий район, д.Юрово, ул.Школьная,12","МБОУ ""Юровский центр образования"""
"Вологодская обл., рп Кадуй, ул. Строителей, д. 6, Кадуй, Вологодская область, Россия",Вологодская область,Кадуй,"Вологодская обл., рп Кадуй, ул. Строителей, д. 6","ЖФК ""Арсенал"""
"ЗЗаягорбский, ул. Космонавта Беляева, д. 66а, Череповец, Вологодская область, Россия",Вологодская область,Череповец,"ЗЗаягорбский, ул. Космонавта Беляева, д. 66а","ЖФК ""Атланта"" Череповец"
"Ул. Ермака, 49, Иваново, Ивановская область, Россия",Ивановская область,Иваново,"Ул. Ермака, 49",МБУ ДО СШ ТЕКСТИЛЬЩИК
"Ленинградская,86, Вичуга, Ивановская область, Россия",Ивановская область,Вичуга,"Ленинградская,86","МБУ ""Текстильщик"""
"Тимирязева 32 Центр Детского Творчества, Фурманов, Ивановская область, Россия",Ивановская область,Фурманов,Тимирязева 32 Центр Детского Творчества,Восход
"Иваново, Спортивная, 19/1, Иваново, Ивановская область, Россия",Ивановская область,Иваново,"Иваново, Спортивная, 19/1",ЖФК Иваново
"Ивановская область, город Гаврилов Посад, ул. Советская, дом 20, Гаврилов Посад, Ивановская область, Россия",Ивановская область,Гаврилов Посад,"Ивановская область, город Гаврилов Посад, ул. Советская, дом 20","МБУДО ""Гаврилово-Посадский ДЮЦ"""
"Родники, пер. Школьный, 7, Родники, Ивановская область, Россия",Ивановская область,Родники,"Родники, пер. Школьный, 7","МУ ""Родниковский МСЦ"""
"Ул.Восточная 16 а, Зуевка, Кировская область, Россия",Кировская область,Зуевка,Ул.Восточная 16 а,Мку до СШ г.Зуевка
"610000, Кировская область, г. Киров, ул. Красноармейская, д. 15, Киров, Кировская область, Россия",Кировская область,Киров,"610000, Кировская область, г. Киров, ул. Красноармейская, д. 15","МАУ ДО СШ ""Динамо"" города Кирова"
"Кировская область, г.Советск, ул.Энгельса, д.79, Советск, Кировская область, Россия",Кировская область,Советск,"Кировская область, г.Советск, ул.Энгельса, д.79",МБУ ДО СШ Советского района
"Киров, Киров, Кировская область, Россия",Кировская область,Киров,Киров,"ЖФК ""ENERGY"""
